model_company,model_family,canonical_models,price_rows,providers,token_types,official_pricing_url,example_models,median_price_usd_per_1m,cache_read,cache_write,cache_write_1h,input,output,reasoning
01.AI,01.AI Yi,11,22,3,"input,output",https://platform.lingyiwanwu.com/,"llava-yi-34b, nous-hermes-2-yi-34b, tongyi-deepresearch-30b-a3b, yi-34b, yi-34b-200k-capybara, yi-34b-chat, yi-6b, yi-large",0.8999999999999999,,,,0.8999999999999999,0.8999999999999999,
AI2,OLMo,8,18,3,"input,output",https://allenai.org/olmo,"allenai/molmo-2-8b, allenai/olmo-2-0325-32b-instruct, allenai/olmo-3-32b-think, allenai/olmo-3-7b-instruct, allenai/olmo-3-7b-think, allenai/olmo-3.1-32b-instruct, allenai/olmo-3.1-32b-think, olmo-3-32b-think",0.2,,,,0.15,0.5,
AI21,Jamba,27,68,5,"input,output",https://docs.ai21.com/docs/pricing,"ai21-jamba-1.5-large, ai21-jamba-1.5-mini, ai21.jamba-1-5-large-v1-0, ai21.jamba-1-5-mini-v1-0, ai21.jamba-instruct-v1-0, ai21/jamba-large-1.7, ai21/jamba-mini-1.7, jamba-1.5",0.4,,,,0.2,0.4,
AI21,Other / Unknown,5,10,2,"input,output",https://docs.ai21.com/docs/pricing,"ai21.j2-mid-v1, ai21.j2-ultra-v1, j2-light, j2-mid, j2-ultra",12.5,,,,12.5,12.5,
Aion Labs,Aion,6,13,2,"cache_read,input,output",https://www.aionlabs.ai/,"aion-1.0, aion-1.0-mini, aion-2.0, aion-labs/aion-1.0, aion-labs/aion-1.0-mini, aion-labs/aion-2.0",1.4,0.19999999999999998,,,0.8,1.6,
Alibaba / Qwen,Qwen3,145,594,24,"cache_read,cache_write,input,output,reasoning",https://www.alibabacloud.com/help/en/model-studio/models,"ap-northeast-1/qwen.qwen3-coder-next, ap-south-1/qwen.qwen3-coder-next, ap-southeast-3/qwen.qwen3-coder-next, cogito-v1-preview-qwen-32b, eu-central-1/qwen.qwen3-coder-next, eu-south-1/qwen.qwen3-coder-next, eu-west-1/qwen.qwen3-coder-next, eu-west-2/qwen.qwen3-coder-next",0.5,0.10500000000000001,0.89375,,0.2,1.1,4.8
Alibaba / Qwen,Other / Unknown,67,164,6,"cache_read,cache_write,input,output,reasoning",https://www.alibabacloud.com/help/en/model-studio/models,"code-qwen-1p5-7b, cogito-v1-preview-qwen-14b, qwen-coder, qwen-coder-plus, qwen-coder-plus-2024-11-06, qwen-coder-plus-latest, qwen-coder-turbo, qwen-coder-turbo-2024-09-19",0.4155,0.052000000000000005,0.325,,0.26999999999999996,0.8610000000000001,4.0
Alibaba / Qwen,Qwen2,37,76,4,"input,output",https://www.alibabacloud.com/help/en/model-studio/models,"dolphin-2-9-2-qwen2-72b, qwen/qwen2-vl-72b-instruct, qwen/qwen2-vl-7b-instruct, qwen2-72b-instruct, qwen2-7b-instruct, qwen2-vl-2b-instruct, qwen2-vl-72b-instruct, qwen2-vl-7b-instruct",0.19999999999999998,,,,0.19999999999999998,0.19999999999999998,
Alibaba / Qwen,Qwen2.5,31,92,11,"input,output",https://www.alibabacloud.com/help/en/model-studio/models,"qwen-2.5-72b-instruct, qwen-2.5-7b-instruct, qwen-2.5-coder-32b-instruct, qwen-2.5-vl-7b-instruct, qwen/qwen-2.5-72b-instruct, qwen/qwen2.5-32b-instruct, qwen/qwen2.5-72b-instruct, qwen/qwen2.5-7b-instruct",0.355,,,,0.22499999999999998,0.4,
Alibaba / Qwen,QwQ / QVQ,15,44,9,"input,output",https://www.alibabacloud.com/help/en/model-studio/models,"arliai/qwq-32b-arliai-rpr-v1, qvq-max, qvq-max-2025-03-25, qvq-max-2025-05-15, qvq-max-latest, qvq-plus, qvq-plus-2025-05-15, qvq-plus-latest",0.717,,,,0.39349999999999996,0.8085,
